id,V1,V2,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26
1,2,3,14136,15218,15968,16654,17164,17574,18205,18527,19251,20219,21430,22824,24319,25725,27555,29374,32133,32556,33753,35198,35820,36864,38317,39875,40297,42520
2,3,5,5027,5389,5778,6121,6355,6429,6644,6844,7082,7055,7601,8119,8660,9224,9575,9656,10271,10847,11748,12632,12363,12575,13201,13809,14432,15186
3,3,7,466,474,510,544,593,630,659,689,749,807,862,944,1012,1087,1207,1329,1468,1551,1671,1814,1897,2005,2109,2244,2402,2500
4,4,7,1365,1505,1608,1671,1780,1942,2131,2091,2063,2338,2560,2819,3091,3476,3815,4030,4335,4718,5000,5187,5427,5680,5784,6215,6492,7003
5,5,5,2402,2584,2708,2822,3016,3248,3383,3554,3664,3865,4241,4585,4841,5069,5446,5677,5918,6297,6659,6892,7085,7476,7575,7954,8490,9177
6,5,7,3263,3539,3673,3801,4042,4167,4336,4531,4846,5366,5984,6483,6986,7636,7875,8659,9376,9919,10769,11402,11629,12057,12909,13625,14520,14996
7,5,2,5481,5871,6256,6452,6722,7015,7202,7312,7621,8019,8809,9563,10511,11492,12470,13357,14335,15186,15954,16690,17442,17861,18191,18940,19568,19905
8,7,5,6258,6586,6936,7131,7519,7902,8285,8560,9094,9490,10259,10991,12126,13259,14460,15321,16410,17173,18539,19216,19842,21177,21800,22658,23408,24128
9,8,5,3750,4087,4385,4713,4853,4932,5436,5601,5908,6239,6720,7300,7814,8303,8821,9446,10128,10913,11590,12112,12374,12608,12930,13476,14022,14836
10,11,3,12263,13264,14024,14542,15059,15845,16077,15925,16745,17491,19420,20883,22720,24871,27397,29241,30435,30973,34548,35229,34800,37519,38660,39687,40515,41640
11,12,4,4083,4332,4440,4817,5060,5159,5840,5873,6453,6994,7649,8620,9213,10021,10961,11786,12515,13130,14155,14943,15947,16602,17690,18563,19169,20373
12,13,8,630,680,725,755,847,935,1004,1023,1095,1222,1390,1469,1563,1666,1902,2074,2247,2422,2512,2690,2770,2898,2984,3105,3519,3542
13,13,5,2102,2299,2433,2539,2665,2797,2941,3066,3170,3298,3588,3796,4095,4420,4789,5034,5356,5503,5984,6163,6336,6882,7053,7315,7782,8336
14,14,8,1123,1226,1325,1453,1505,1617,1684,1814,2004,2179,2480,2889,3071,3473,3749,4084,4562,4998,5138,5275,5466,5497,6014,6564,6840,7483
15,17,8,2367,2652,2843,2933,3098,3211,3399,3636,3898,4228,4730,5188,5507,6002,6600,7102,7563,7946,8659,9391,9775,10150,10666,11727,12991,13673
16,17,4,781,822,848,912,992,1050,1100,1122,1203,1260,1384,1515,1637,1753,2014,2211,2321,2521,2765,3025,3243,3423,3632,3894,4193,4517
17,17,8,4468,4964,5145,5446,5650,5866,6051,6252,7138,7368,8105,9031,10021,10723,11618,12450,13869,15172,16676,17306,17808,19285,19620,20185,21807,22217
